epoch reward
0 7.100
1 7.238
2 8.567
3 9.094
4 8.860
5 8.888
6 8.711
7 8.784
8 8.842
9 8.558
10 8.800
11 8.819
12 8.792
13 8.868
14 9.025
15 9.163
16 9.154
17 9.254
18 9.517
19 9.713
20 9.955
21 10.225
22 10.340
23 10.538
24 10.785
25 11.181
26 11.423
27 11.610
28 11.874
29 12.182
30 12.501
31 12.853
32 13.051
33 13.315
34 13.821
35 13.964
36 14.404
37 14.998
38 15.482
39 15.801
40 16.186
41 16.659
42 17.055
43 17.308
44 17.671
45 18.023
46 18.221
47 18.617
48 18.859
49 19.013
50 19.299
51 19.475
52 19.684
53 19.728
54 20.025
55 20.157
56 20.311
57 20.751
58 21.158
59 21.323
60 21.664
61 21.763
62 21.653
63 21.675
64 21.873
65 22.005
66 22.093
67 22.082
68 22.247
69 22.225
70 22.247
71 22.203
72 22.379
73 22.445
74 22.555
75 22.599
76 22.984
77 23.072
78 23.369
79 23.336
80 23.688
81 23.864
82 23.754
83 23.710
84 23.721
85 23.853
86 23.930
87 24.128
88 24.304
89 24.205
90 24.337
91 24.513
92 24.722
93 24.722
94 24.733
95 24.601
96 24.931
97 24.887
98 24.986
99 25.085
